Region,Date,preInfected
Auvergne-Rhone-Alpes,2020-03-10,211
Bourgogne-Franche-Comte,2020-03-10,146
Bretagne,2020-03-10,81
Centre-Val de Loire,2020-03-10,18
Corse,2020-03-10,42
Grand-Est,2020-03-10,464
Hauts-de-France,2020-03-10,209
Ile-de-France,2020-03-10,334
Normandie,2020-03-10,37
Nouvelle-Aquitaine,2020-03-10,54
Occitanie,2020-03-10,61
Pays de la Loire,2020-03-10,27
PACA,2020-03-10,89
